07-03-2017,15.52,15.73,15.16,15.18,down
08-03-2017,15.19,15.36,15.08,15.24,up
09-03-2017,15.24,15.39,15.03,15.22,down
10-03-2017,15.23,15.27,14.94,15.12,down
13-03-2017,15.1,15.27,15.1,15.21,up
14-03-2017,15.2,15.58,15.15,15.32,up
15-03-2017,15.25,15.3,14.85,15.03,down
16-03-2017,15.08,15.28,15.04,15.19,up
17-03-2017,15.2,15.23,15.03,15.08,down
20-03-2017,15.11,15.11,14.82,15.09,up
21-03-2017,15.08,15.1,14.5,14.54,down
22-03-2017,14.5,14.99,14.32,14.98,up
23-03-2017,14.99,15.05,14.73,14.93,down
24-03-2017,15.06,15.37,15.03,15.14,up
27-03-2017,15.02,15.06,14.75,14.99,down
28-03-2017,15,15.17,14.8,14.94,down
29-03-2017,14.86,15.06,14.7,15.04,up
30-03-2017,15.05,15.08,14.9,14.92,down
31-03-2017,14.93,15.06,14.91,14.95,up
03-04-2017,14.97,14.98,14.65,14.84,down
04-04-2017,14.75,14.76,14.58,14.69,down
05-04-2017,14.61,14.82,14.41,14.53,down
06-04-2017,14.53,14.62,14.3,14.39,down
07-04-2017,14.36,14.43,14.25,14.29,down
10-04-2017,14.3,14.46,14.2,14.36,up
11-04-2017,14.3,14.4,14.2,14.31,down
12-04-2017,14.34,14.78,14.26,14.42,up
13-04-2017,14.49,14.5,14.22,14.3,down
